mbti;name;occup;bday;bday2;lewi143;lewi53;lewi154;lewi64;lewi160;lewi55;lewi91;lewi140;lewi242;lewi155;lewi236;lewi206;lewi47;lewi275;lewi259;lewi111;lewi40;lewi166;lewi192;lewi174;lewi209;lewi51;lewi266;lewi10;lewi94;lewi269;lewi258;lewi36;lewi146;lewi7;lewi98;lewi151;lewi67;lewi48;lewi262;lewi71;lewi12;lewi219;lewi43;lewi2;lewi129;lewi96;lewi69;lewi114;lewi79;lewi28;lewi189;lewi229;lewi119;lewi196;lewi85;lewi131;lewi148;lewi124;lewi100;lewi19;lewi226;lewi244;lewi159;lewi52;lewi216;lewi185;lewi46;lewi257;lewi122;lewi125;lewi197;lewi271;lewi21;lewi249;lewi77;lewi215;lewi44;lewi106;lewi274;lewi32;lewi147;lewi223;lewi116;lewi3;lewi41;lewi56;lewi150;lewi88;lewi253;lewi101;lewi183;lewi123;lewi14;lewi35;lewi205;lewi130;lewi31;lewi60;lewi108;lewi54;lewi34;lewi92;lewi63;lewi195;lewi17;lewi115;lewi82;lewi135;lewi177;lewi120;lewi33;lewi25;lewi231;lewi153;lewi78;lewi169;lewi276;lewi188;lewi13;lewi186;lewi137;lewi212;lewi16;lewi24;lewi102;lewi152;lewi217;lewi20;lewi29;lewi277;lewi228;lewi139;lewi9;lewi30;lewi144;lewi156;lewi68;lewi161;lewi202;lewi250;lewi127;lewi198;lewi22;lewi81;lewi181;lewi194;lewi141;lewi128;lewi18;lewi233;lewi145;lewi168;lewi241;lewi132;lewi247;lewi158;lewi248;lewi65;lewi225;lewi232;lewi84;lewi182;lewi240;lewi1;lewi23;lewi49;lewi207;lewi37;lewi210;lewi273;lewi221;lewi8;lewi75;lewi113;lewi15;lewi76;lewi272;lewi199;lewi4;lewi224;lewi243;lewi11;lewi261;lewi134;lewi254;lewi104;lewi72;lewi103;lewi178;lewi245;lewi57;lewi26;lewi200;lewi136;lewi80;lewi237;lewi267;lewi227;lewi95;lewi184;lewi110;lewi117;lewi211;lewi190;lewi58;lewi126;lewi201;lewi93;lewi235;lewi180;lewi90;lewi255;lewi99;lewi107;lewi109;lewi97;lewi39;lewi66;lewi157;lewi170;lewi45;lewi27;lewi133;lewi171;lewi268;lewi238;lewi230;lewi6;lewi213;lewi175;lewi5;lewi234;lewi187;lewi263;lewi214;lewi70;lewi179;lewi260;lewi42;lewimod.pl;lewi251;lewi222;lewi121;lewi73;lewi86;lewi61;lewi191;lewi220;lewi62;lewi162;lewi138;lewi83;lewi270;lewi204;lewi167;lewi172;lewi59;lewi74;lewi218;lewi50;lewi87;lewi118;lewi208;lewi112;lewi164;lewi38;lewi239;lewi264;lewi203;lewi105;lewi165;lewi265;lewi193;lewi142;lewi256;lewi149;lewi173;lewi252;lewi89;lewi246;lewi176;lewi163;mills0;mills1;mills2;mills3;mills4;mills5;mills6;mills7;mills8;mills9;chinese=Dog;chinese=Dragon;chinese=Horse;chinese=Monkey;chinese=Ox;chinese=Pig;chinese=Rabbit;chinese=Rat;chinese=Rooster;chinese=Sheep;chinese=Snake;chinese=Tiger;milla=15;milla=18;milla=19;milla=20;milla=21;milla=22;milla=23;milla=24;milla=25;milla=26;milla=27;milla=28;milla=29;milla=30;milla=31;milla=32;milla=33;milla=34;milla=35;milla=36;milla=37;milla=38;milla=39;milla=41;milla=42;milla=43;millb=10;millb=11;millb=12;millb=2;millb=3;millb=4;millb=5;millb=6;millb=7;millb=8;millb=9;spiller=Aquarius;spiller=Aries;spiller=Cancer;spiller=Capricorn;spiller=Gemini;spiller=Leo;spiller=Libra;spiller=Pisces;spiller=Sagittarius;spiller=Scorpio;spiller=Taurus;spiller=Virgo;I;N;T;P
ESFJ;Whitney Houston;American diva and actress;9/8/1963;19630809;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;0;0;0;0
ESFJ;Mariah Carey;American singer;27/3/1970;19700327;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;0;0;0;0
ESFJ;Alicia Keys;American singer;25/1/1980;19800125;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;1.0;;;;;;;0;0;0;0
ESFJ;Shania Twain;Canadian singer;28/8/1965;19650828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;0;0;0;0
ESFJ;Lesley Stahl;American journalist;16/12/1941;19411216;;;;;;;;;;;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;1.0;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;0;0;0;0
ESFJ;Elton John;English singer and songwriter;25/3/1947;19470325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;1.0;;1.0;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;0;0;0;0
ESFJ;Randy Jackson;American music producer, judge on American Idol;23/6/1956;19560623;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;1.0;1.0;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;0;0;0;0
ESFJ;Randy Jackson;American musician;29/10/1961;19611029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;;;;;1.0;;1.0;;;;1.0;1.0;;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;0;0;0;0
ESFJ;Hugh Jackman;Australian actor and singer;12/10/1968;19681012;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;1.0;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;1.0;;;;;;;;;;;0;0;0;0
ESFJ;Jamie Bell;English actor;14/3/1986;19860314;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;1.0;;;;;1.0;;;;;;1.0;;;;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;1.0;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;0;0;0;0
ESFJ;Vin Diesel;American actor;18/7/1967;19670718;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;1.0;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;0;0;0;0
ESFJ;Woody Harrelson;American actor;23/7/1961;19610723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;1.0;1.0;;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;0;0;0;0
ESFJ;Tyra Banks;American supermodel;4/12/1973;19731204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;;;;0;0;0;0
ESFJ;Jenny McCarthy;"American ""Playmate of the Year"" and TV actress";1/11/1972;19721101;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;;;;;;;;;0;0;0;0
ESFJ;Laura Harring;Mexican American actress;3/3/1964;19640303;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;1.0;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;0;0;0;0
ESFJ;Victoria Beckham;English singer;17/4/1974;19740417;;;1.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;1.0;;;;0;0;0;0
ENTJ;Margaret Thatcher;Prime Minister of the United Kingdom;13/10/1925;19251013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;0;1;1;0
ENTJ;Garry Kasparov;Russian chess player;13/4/1963;19630413;;;1.0;;;;;;;1.0;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;1.0;;;;;;;;;;1.0;;;;;1.0;;1.0;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;0;1;1;0
ENTJ;Bill Gates;American software executive;28/10/1955;19551028;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;;;;0;1;1;0
ENTJ;Carl Sagan;American astronomer and writer;9/11/1934;19341109;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;;;;;1.0;1.0;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;0;1;1;0
ENTJ;Karl Rove;American presidential advisor;25/12/1950;19501225;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;1.0;;1.0;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;0;1;1;0
ENTJ;Dick Cheney;46th Vice President of the United States;30/1/1941;19410130;;;;;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;0;1;1;0
ENTJ;Al Gore;Vice President of the United States;31/3/1948;19480331;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;1.0;1.0;;;;;;1.0;1.0;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;0;1;1;0
ENTJ;Madeleine Albright;U.S. Secretary of State;15/5/1937;19370515;;;1.0;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;1.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;1.0;;;;1.0;;1.0;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;;;;0;1;1;0
ENTJ;Nancy Pelosi;American politician;26/3/1940;19400326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;1.0;;;1.0;;;;1.0;;;1.0;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;;;;;;0;1;1;0
ENTJ;Aung San Suu Kyi;Burmese politician, Nobel laureate;19/6/1945;19450619;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;1.0;;1.0;;;1.0;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;0;1;1;0
ENTJ;Rush Limbaugh;American radio personality;12/1/1951;19510112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;1.0;;;;;0;1;1;0
